ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,rp
-43,-45,-50,-54,-43,-38,-57,-50,2
-43,-44,-49,-56,-42,-37,-56,-50,2
-43,-46,-50,-54,-45,-37,-55,-50,2
-44,-45,-51,-52,-43,-38,-56,-50,2
-44,-45,-50,-55,-43,-38,-56,-51,2
-43,-45,-49,-54,-44,-37,-56,-50,2
-44,-46,-50,-51,-43,-37,-55,-49,2
-41,-43,-48,-52,-42,-35,-53,-48,2
-41,-43,-49,-52,-43,-35,-55,-48,2
-42,-45,-49,-52,-39,-35,-55,-50,2
-42,-43,-50,-51,-42,-36,-56,-49,2
-42,-43,-50,-50,-41,-35,-55,-48,2
-42,-43,-48,-51,-43,-36,-54,-47,2
-42,-42,-49,-51,-43,-36,-55,-50,2
-41,-43,-48,-51,-41,-36,-55,-47,2
-42,-42,-48,-51,-41,-36,-55,-47,2
-42,-43,-49,-51,-42,-36,-54,-47,2
-41,-42,-50,-52,-42,-35,-54,-48,2
-42,-43,-50,-51,-42,-36,-55,-49,2
-42,-44,-51,-53,-42,-36,-56,-48,2
-41,-45,-49,-52,-41,-36,-55,-48,2
-41,-42,-48,-52,-41,-35,-54,-48,2
-42,-44,-49,-52,-42,-36,-55,-47,2
-43,-42,-50,-52,-42,-36,-55,-50,2
-42,-44,-48,-52,-42,-37,-54,-47,2
-42,-44,-49,-53,-42,-35,-55,-49,2
-42,-43,-50,-52,-42,-36,-54,-47,2
-41,-43,-49,-51,-41,-35,-54,-47,2
-41,-43,-50,-52,-43,-36,-56,-48,2
-42,-44,-50,-52,-42,-37,-55,-48,2
-43,-43,-49,-53,-43,-36,-55,-49,2
-42,-43,-50,-53,-43,-37,-55,-47,2
-42,-45,-50,-53,-43,-35,-55,-50,2
-42,-44,-50,-53,-43,-36,-54,-49,2
-42,-44,-50,-53,-42,-37,-55,-49,2
-43,-43,-49,-53,-41,-36,-54,-49,2
-42,-44,-49,-52,-41,-37,-54,-49,2
-42,-44,-50,-51,-42,-36,-56,-48,2
-42,-43,-49,-52,-43,-36,-56,-48,2
-43,-42,-49,-52,-42,-36,-56,-48,2
-45,-46,-51,-53,-44,-39,-58,-51,2
-43,-44,-48,-51,-41,-36,-54,-49,2
-42,-43,-50,-51,-43,-36,-54,-49,2
-42,-43,-50,-51,-41,-36,-55,-50,2
-42,-43,-49,-52,-41,-37,-55,-49,2
-42,-44,-49,-52,-43,-35,-55,-49,2
-42,-43,-49,-52,-42,-37,-55,-49,2
-42,-44,-51,-51,-42,-36,-55,-50,2
-40,-43,-49,-52,-42,-34,-54,-48,2
-42,-43,-51,-52,-42,-36,-54,-49,2
-42,-43,-50,-50,-41,-36,-54,-48,2
-41,-44,-49,-51,-42,-36,-53,-48,2
-42,-43,-50,-50,-42,-36,-54,-48,2
-42,-44,-50,-51,-43,-37,-54,-48,2
-41,-44,-51,-53,-42,-37,-55,-48,2
-42,-43,-50,-52,-42,-36,-56,-48,2
-41,-44,-50,-52,-42,-37,-56,-50,2
-42,-45,-48,-53,-42,-36,-54,-49,2
-42,-44,-49,-52,-42,-36,-55,-49,2
-42,-43,-50,-52,-43,-37,-54,-48,2
-42,-42,-51,-52,-41,-36,-55,-47,2
-42,-43,-50,-51,-42,-36,-54,-49,2
-43,-44,-51,-48,-43,-36,-54,-49,2
-41,-44,-46,-51,-41,-35,-55,-47,2
-42,-44,-49,-50,-41,-35,-54,-47,2
-42,-42,-48,-51,-41,-36,-55,-49,2
-42,-43,-49,-51,-42,-35,-55,-47,2
-41,-44,-50,-51,-41,-36,-56,-47,2
-41,-43,-50,-49,-43,-36,-53,-48,2
-42,-45,-50,-53,-43,-35,-54,-49,2
-41,-44,-49,-50,-41,-36,-54,-48,2
-41,-44,-50,-51,-41,-35,-53,-48,2
-42,-43,-49,-51,-42,-36,-55,-49,2
-43,-43,-50,-51,-43,-36,-55,-48,2
-42,-44,-49,-52,-42,-36,-54,-47,2
-41,-43,-50,-51,-42,-36,-54,-48,2
-42,-44,-49,-53,-42,-36,-55,-49,2
-42,-44,-50,-52,-42,-36,-55,-48,2
-43,-44,-50,-52,-42,-36,-55,-48,2
-43,-43,-50,-52,-41,-36,-54,-48,2
-42,-45,-51,-53,-43,-36,-55,-48,2
-41,-44,-50,-52,-41,-36,-54,-46,2
-44,-44,-51,-52,-44,-39,-56,-50,2
-41,-44,-49,-50,-42,-36,-54,-48,2
-41,-43,-49,-51,-42,-37,-56,-50,2
-43,-44,-50,-53,-42,-37,-55,-50,2
-42,-43,-51,-53,-43,-36,-54,-48,2
-43,-43,-51,-50,-42,-37,-55,-49,2
-43,-44,-51,-51,-43,-37,-55,-49,2
-43,-44,-50,-52,-43,-36,-56,-49,2
-43,-44,-49,-52,-42,-36,-55,-48,2
-44,-44,-51,-52,-43,-37,-55,-48,2
-43,-43,-50,-52,-43,-37,-56,-50,2
-44,-44,-50,-52,-43,-36,-55,-49,2
-43,-44,-50,-53,-44,-37,-55,-48,2
-42,-43,-50,-52,-43,-37,-54,-50,2
-43,-44,-50,-53,-42,-37,-54,-49,2
-44,-44,-51,-52,-42,-36,-56,-50,2
-43,-43,-50,-53,-43,-37,-56,-51,2
-43,-44,-50,-53,-42,-37,-54,-48,2
-43,-43,-51,-51,-42,-37,-55,-49,2
-43,-44,-50,-52,-42,-37,-55,-49,2
-43,-43,-51,-51,-44,-36,-54,-49,2
-43,-44,-50,-51,-41,-36,-55,-48,2
-43,-43,-50,-51,-43,-38,-55,-48,2
-43,-45,-50,-52,-42,-36,-55,-49,2
-43,-44,-51,-51,-43,-37,-55,-48,2
-42,-45,-50,-53,-42,-37,-54,-48,2
-42,-43,-50,-51,-43,-38,-54,-49,2
-42,-44,-51,-51,-42,-36,-54,-49,2
-43,-43,-51,-51,-43,-37,-54,-49,2
-43,-43,-51,-52,-42,-36,-56,-49,2
-44,-44,-50,-52,-44,-37,-56,-50,2
-43,-44,-50,-51,-43,-37,-55,-50,2
-43,-45,-50,-51,-42,-37,-55,-49,2
-43,-45,-51,-51,-41,-37,-55,-49,2
-42,-44,-50,-52,-43,-36,-55,-49,2
-40,-45,-51,-52,-43,-36,-54,-49,2
-43,-43,-50,-53,-43,-36,-55,-49,2
-43,-44,-50,-51,-42,-38,-55,-50,2
-45,-45,-52,-48,-43,-35,-56,-52,2
-41,-44,-50,-53,-42,-36,-56,-49,2
-42,-44,-50,-52,-42,-37,-55,-49,2
-42,-44,-51,-53,-42,-36,-56,-49,2
-42,-44,-51,-53,-42,-37,-55,-49,2
-42,-44,-51,-53,-42,-37,-56,-49,2
-43,-44,-49,-53,-42,-36,-55,-48,2
-43,-44,-49,-51,-42,-37,-56,-50,2
-42,-44,-51,-53,-42,-36,-57,-48,2
-42,-44,-49,-51,-43,-37,-55,-50,2
-44,-45,-49,-50,-43,-37,-55,-51,2
-43,-44,-52,-52,-42,-37,-55,-50,2
-41,-43,-51,-51,-43,-37,-55,-49,2
-41,-44,-51,-52,-42,-37,-54,-50,2
-43,-44,-51,-52,-42,-37,-55,-50,2
-42,-44,-51,-53,-42,-37,-56,-49,2
-42,-45,-50,-52,-44,-37,-56,-49,2
-42,-46,-51,-54,-43,-37,-54,-49,2
-42,-44,-51,-53,-42,-37,-54,-49,2
-43,-44,-51,-53,-42,-36,-56,-50,2
-42,-44,-51,-52,-43,-38,-55,-50,2
-42,-43,-50,-51,-42,-37,-56,-50,2
-42,-44,-49,-53,-42,-36,-55,-49,2
-43,-43,-50,-51,-43,-37,-56,-49,2
-42,-45,-50,-51,-43,-38,-55,-50,2
-42,-44,-50,-51,-42,-37,-55,-48,2
-43,-44,-50,-52,-42,-37,-56,-49,2
-43,-44,-50,-51,-43,-37,-56,-49,2
-42,-44,-50,-51,-43,-37,-54,-49,2
-42,-45,-50,-52,-42,-36,-56,-51,2
-42,-44,-50,-54,-43,-37,-55,-49,2
-43,-44,-50,-53,-42,-38,-56,-51,2
-42,-44,-50,-52,-43,-38,-56,-50,2
-43,-45,-50,-52,-43,-36,-56,-48,2
-43,-43,-50,-53,-42,-36,-55,-49,2
-42,-45,-50,-54,-43,-36,-54,-49,2
-43,-43,-51,-52,-43,-36,-55,-49,2
